water,744,"{'high': 422, 'lane': 315, 'affect': 288, 'main': 243, 'fwy': 185, 'hwy': 108, 'eastex': 36, 'baytown': 33, 'three': 26, 'ramp': 19, 'lockwood': 19, 'rising': 19, 'house': 16, 'mainlanes': 15, 'row': 14, 'recede': 13, 'hall': 12, 'holly': 12, 'beltway': 12, 'taylor': 12, 'clay': 12, 'gessner': 11, 'bottle': 11, 'jester': 11, 'blocking': 11, 'clinton': 11, 'patterson': 11, 'nbsb': 11, 'southmore': 10, 'street': 10, 'dallas': 10, 'neighborhood': 9, 'wayside': 9, 'grand': 8, 'near': 8, 'stella': 8, 'foot': 7, 'away': 7, 'blvd': 7, 'beechnut': 7, 'damage': 7, 'gallon': 7, 'shepherd': 6, 'yesterday': 6, 'highway': 6, 'car': 6, 'ebwb': 6, 'drain': 6, 'receding': 6, 'sign': 5, 'ass': 5, 'expect': 5, 'earlier': 5, 'four': 5, 'lathrop': 5, 'bridge': 5, 'spg': 5, 'stuebner': 5, 'release': 4, 'standing': 4, 'prepare': 4, 'giving': 4, 'side': 4, 'lee': 4, 'parkway': 4, 'rise': 4, 'worse': 4, 'walmart': 4, 'currently': 4, 'bissonnet': 4, 'waco': 4, 'mainline': 4, 'trillion': 4, 'smh': 3, 'amount': 3}"
help,613,"{'need': 318, 'houston': 232, 'texas': 180, 'please': 178, 'harvey': 134, 'hurricane': 110, 'people': 108, 'get': 80, 'donate': 80, 'getrepost': 68, 'family': 60, 'way': 56, 'friend': 54, 'here': 50, 'call': 44, 'victim': 42, 'send': 40, 'rescue': 40, 'many': 36, 'link': 34, 'repost': 34, 'community': 32, 'someone': 30, 'volunteer': 26, 'try': 24, 'able': 24, 'donation': 24, 'thanks': 22, 'boat': 22, 'well': 20, 'text': 20, 'bit': 18, 'give': 18, 'anything': 18, 'neighbor': 16, 'find': 16, 'use': 16, 'impact': 16, 'contact': 14, 'word': 14, 'ask': 14, 'desk': 14, 'devastate': 14, 'somebody': 12, 'fellow': 12, 'brother': 12, 'local': 12, 'animal': 12, 'save': 12, 'red': 12, 'hurt': 12, 'dance': 10, 'raise': 10, 'town': 10, 'cause': 10, 'sister': 10, 'visit': 10, 'recover': 10, 'folks': 10, 'recovery': 10, 'vibe': 10, 'plz': 10, 'redcross': 10, 'spread': 10, 'anybody': 10, 'funds': 10, 'carers': 10, 'austinhumane': 10, 'follow': 8, 'wish': 8, 'shirt': 8, 'wan': 8, 'asking': 8, 'however': 8, 'whatever': 8, 'asap': 8, 'swipe': 8, 'others': 8, 'attention': 8, 'profile': 8, 'number': 8, 'houstonians': 8, 'abchouston': 8, 'displace': 8, 'citizen': 8, 'donke': 8, 'helpless': 8, 'devastation': 8, 'page': 6, 'poor': 6, 'email': 6, 'problem': 6}"
need,551,"{'help': 477, 'houston': 315, 'texas': 183, 'anyone': 159, 'please': 138, 'people': 120, 'rescue': 93, 'area': 90, 'call': 69, 'shelter': 69, 'volunteer': 63, 'donate': 63, 'donation': 48, 'boat': 45, 'much': 39, 'anybody': 36, 'contact': 33, 'girl': 30, 'immediate': 30, 'supply': 30, 'assistance': 30, 'around': 27, 'may': 27, 'emergency': 27, 'baby': 24, 'community': 24, 'case': 24, 'information': 24, 'numbers': 24, 'anything': 24, 'item': 24, 'plz': 24, 'lot': 21, 'truck': 21, 'asap': 21, 'near': 21, 'ppl': 18, 'otr': 18, 'flatbed': 18, 'info': 18, 'surround': 18, 'spread': 18, 'follow': 15, 'mattress': 15, 'hear': 15, 'box': 15, 'clothing': 15, 'playing': 15, 'number': 15, 'cable': 15, 'androib': 15, 'clothes': 15, 'diaper': 15, 'devastate': 15, 'carers': 15, 'austinhumane': 15, 'message': 12, 'must': 12, 'faith': 12, 'person': 12, 'nrg': 12, 'hand': 12, 'theyre': 12, 'works': 12, 'sometimes': 12, 'profile': 12, 'houstonians': 12, 'grb': 12, 'square': 12, 'cry': 12, 'address': 12, 'reposting': 12, 'press': 9, 'child': 9, 'focus': 9, 'adult': 9, 'alert': 9}"
people,389,"{'houston': 252, 'help': 216, 'texas': 204, 'need': 160, 'rescue': 108, 'many': 100, 'home': 80, 'helping': 60, 'lot': 40, 'evacuate': 40, 'everything': 36, 'lost': 36, 'seeing': 32, 'hearts': 32, 'find': 28, 'disaster': 28, 'sad': 28, 'awesome': 20, 'feed': 20, 'word': 20, 'blessing': 20, 'htown': 20, 'lots': 20, 'others': 20, 'already': 16, 'lose': 16, 'pretty': 16, 'animal': 16, 'empty': 16, 'roof': 16, 'showing': 12, 'nature': 12, 'shout': 12, 'incredible': 12}"
store,372,"{'click': 550, 'latest': 530, 'apply': 515, 'team': 390, 'opening': 345, 'member': 300, 'shift': 250, 'supervisor': 250, 'barista': 250, 'counter': 210, 'low': 95, 'grocery': 90, 'seasonal': 70, 'checkedin': 60, 'cornerstoreu': 60, 'visual': 55, 'shareacoke': 55, 'employee': 50, 'fry': 20, 'prepare': 20, 'sperry': 20, 'kingwood': 20, 'stage': 20, 'river': 20, 'willowbrook': 20, 'loop': 20}"
safe,348,"{'stay': 798, 'houston': 462, 'everyone': 378, 'texas': 360, 'dry': 228, 'yall': 162, 'hope': 138, 'thanks': 60, 'neighbor': 48, 'hey': 42, 'htown': 42, 'bless': 42, 'lamp': 42, 'sound': 36, 'peep': 36, 'everybody': 30, 'houstonians': 30, 'notice': 30, 'roads': 30, 'breaking': 24, 'concern': 24, 'thankfully': 24, 'shot': 18}"
home,332,"{'houston': 651, 'texas': 294, 'flood': 154, 'harvey': 154, 'people': 140, 'astros': 84, 'call': 84, 'lending': 77, 'may': 63, 'lost': 63, 'old': 49, 'bush': 49, 'intercontinental': 49, 'bedroom': 49, 'trail': 42, 'mom': 42, 'return': 42, 'bath': 35, 'sweet': 35, 'feeling': 35, 'offer': 35, 'improvement': 35, 'force': 35, 'rebuild': 35, 'ranger': 35, 'evacuate': 28, 'amid': 28, 'shes': 21, 'base': 21}"
flood,313,"{'houston': 680, 'flash': 264, 'harvey': 232, 'texas': 224, 'victim': 216, 'hurricane': 216, 'home': 176, 'stage': 160, 'warning': 152, 'free': 136, 'set': 136, 'harris': 104, 'pasadena': 104, 'house': 96, 'report': 88, 'street': 80, 'waters': 80, 'car': 72, 'neighborhood': 72, 'emergency': 56, 'woodland': 48, 'highway': 40, 'return': 40, 'freeway': 32, 'completely': 32, 'face': 32, 'side': 32, 'expressway': 32, 'amid': 32, 'trap': 24, 'officially': 24}"
family,295,"{'friend': 648, 'houston': 504, 'texas': 414, 'pray': 387, 'help': 270, 'prayer': 234, 'lost': 72, 'neighbor': 54, 'supporting': 54, 'thankful': 54, 'displace': 54, 'grateful': 45, 'immediate': 45, 'wait': 36, 'reach': 36, 'save': 36, 'thin': 36, 'uncle': 27, 'workout': 27, 'hello': 27, 'regrann': 27}"
school,277,"{'houston': 1210, 'district': 1100, 'independent': 1090, 'opening': 790, 'latest': 760, 'details': 680, 'public': 250, 'harmony': 230, 'week': 160, 'haircut': 70, 'middle': 70, 'hisd': 60, 'cut': 50, 'paul': 50, 'mitchell': 50, 'awty': 50, 'international': 50, 'football': 50, 'busy': 40, 'marshall': 40, 'isd': 40, 'backpack': 30, 'grade': 30}"
