water,744
help,613
need,551
people,389
store,372
safe,348
home,332
flood,313
family,295
school,277
nurse,223
support,185
donate,179
food,175
service,169
call,160
rescue,151
donation,141
relief,131
shelter,123
volunteer,108
community,100
boat,88
money,82
victim,80
supply,73
car,71
power,69
restaurant,62
emergency,60
truck,57
dog,53
gas,49
damage,49
contact,46
wine,43
text,41
beer,38
grocery,38
tank,30
clothes,29
trail,27
fund,26
bottle,23
assistance,23
oil,22
advisory,18
cable,0
